run_id,timestamp,entry_type,identifier,value
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:08,chunk_count_track,dubliners,74
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:08,document_indexing_track,dubliners,18916.695
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:12,llm_indexing_generation_time_track,emma,3546.196
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:12,llm_indexing_input_tokens_track,emma,1600
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:12,llm_indexing_output_tokens_track,emma,45
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:12,llm_indexing_cost_track,emma,0.00043375
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:13,llm_indexing_generation_time_track,emma,3898.247
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:13,llm_indexing_input_tokens_track,emma,1608
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:13,llm_indexing_output_tokens_track,emma,45
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:13,llm_indexing_cost_track,emma,0.00043575
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:13,llm_indexing_generation_time_track,emma,4113.755
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:13,llm_indexing_input_tokens_track,emma,1600
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:13,llm_indexing_output_tokens_track,emma,39
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:13,llm_indexing_cost_track,emma,0.0003715
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:13,llm_indexing_generation_time_track,emma,4614.646
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:13,llm_indexing_input_tokens_track,emma,1599
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:13,llm_indexing_output_tokens_track,emma,44
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:13,llm_indexing_cost_track,emma,0.00037378
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:14,llm_indexing_generation_time_track,emma,4724.491
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:14,llm_indexing_input_tokens_track,emma,1631
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:14,llm_indexing_output_tokens_track,emma,55
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:14,llm_indexing_cost_track,emma,0.00023403
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:14,llm_indexing_generation_time_track,emma,774.994
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:14,llm_indexing_input_tokens_track,emma,1623
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:14,llm_indexing_output_tokens_track,emma,54
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:14,llm_indexing_cost_track,emma,0.00044625
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:14,llm_indexing_generation_time_track,emma,1459.870
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:14,llm_indexing_input_tokens_track,emma,1637
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:14,llm_indexing_output_tokens_track,emma,37
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:14,llm_indexing_cost_track,emma,0.00037864
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:15,llm_indexing_generation_time_track,emma,1146.039
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:15,llm_indexing_input_tokens_track,emma,1630
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:15,llm_indexing_output_tokens_track,emma,51
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:15,llm_indexing_cost_track,emma,0.00044575
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:15,llm_indexing_generation_time_track,emma,2370.991
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:15,llm_indexing_input_tokens_track,emma,1640
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:15,llm_indexing_output_tokens_track,emma,52
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:15,llm_indexing_cost_track,emma,0.0003868
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:16,llm_indexing_generation_time_track,emma,755.620
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:16,llm_indexing_input_tokens_track,emma,1617
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:16,llm_indexing_output_tokens_track,emma,48
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:16,llm_indexing_cost_track,emma,0.00044025
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:16,llm_indexing_generation_time_track,emma,1331.648
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:16,llm_indexing_input_tokens_track,emma,1597
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:16,llm_indexing_output_tokens_track,emma,49
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:16,llm_indexing_cost_track,emma,0.0004072
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:17,llm_indexing_generation_time_track,emma,2375.777
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:17,llm_indexing_input_tokens_track,emma,1631
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:17,llm_indexing_output_tokens_track,emma,49
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:17,llm_indexing_cost_track,emma,0.00038332
NovelQA-DocAwareHybridRAG-OpenRouter(openrouter)-MCQA-Jina_Reranker_v3_600M_11-02_17-42,2026-02-11 17:55:17,llm_indexing_generation_time_track,emma,2264.604
